ja,en
二人[ふたり]だけの秘密[ひみつ]にしとけ,keep it a secret between the two of us; himitsu means secret.
今日[きょう]は用事[ようじ]があるんだって,I have something to take care of today; youji means an errand.
隣[となり]の席[せき]が空[あ]いてるぞ,the seat next to me is free; tonari means next to.
番号[ばんごう]はもう変[か]えたんだよ,I already changed my number; bangou means number.
そこは俺[おれ]の席[せき]なんだけど,that happens to be my seat; seki means seat.
鍵[かぎ]をかけるのを忘[わす]れるなよ,do not forget to lock it; kagi means key.
荷物[にもつ]は俺[おれ]が持[も]つよ,I will carry the bags; nimotsu means luggage.
傘[かさ]がないなら入[はい]れよ,get under my umbrella if you have none; kasa means umbrella.
靴[くつ]くらい自分[じぶん]で買[か]えって,buy your own shoes at least; kutsu means shoes.
その帽子[ぼうし]は誰[だれ]のなんだよ,whose hat is that; boushi means hat.
眼鏡[めがね]がないと何[なに]も見[み]えない,I cannot see a thing without my glasses; megane means glasses.
この写真[しゃしん]どこで撮[と]ったんだ,where was this photo taken; shashin means photograph.
薬[くすり]をちゃんと飲[の]めって,take your medicine properly; kusuri means medicine.
医者[いしゃ]に見[み]せたほうがいいぞ,you should have a doctor look at it; isha means doctor.
風邪[かぜ]くらいで学校[がっこう]休[やす]むなよ,do not skip school over a little cold; kaze means a cold.
うちの犬[いぬ]がまた逃[に]げたんだ,our dog ran off again; inu means dog.
猫[ねこ]みたいな目[め]をしてるな,you have eyes like a cat; neko means cat.
雨[あめ]が止[や]むまで待[ま]とうぜ,let us wait until the rain stops; ame means rain.
雪[ゆき]の中[なか]をずっと走[はし]ってきた,I ran the whole way through the snow; yuki means snow.
明日[あした]の天気[てんき]どうなんだろうな,I wonder how the weather is tomorrow; tenki means weather.
台風[たいふう]が来[く]るなら早[はや]く帰[かえ]れ,go home early if a typhoon is coming; taifuu means typhoon.
桜[さくら]がもう散[ち]っちまったな,the cherry blossoms have already fallen; sakura means cherry blossom.
冬[ふゆ]になる前[まえ]に会[あ]いに行[い]くよ,I will come see you before winter; fuyu means winter.
この町[まち]から出[で]ていくつもりか,are you planning to leave this town; machi means town.
祭[まつ]りの夜[よる]に会[あ]おうぜ,let us meet on the night of the festival; matsuri means festival.
花火[はなび]が上[あ]がる前[まえ]に戻[もど]れよ,get back before the fireworks go up; hanabi means fireworks.
誕生日[たんじょうび]なんて覚[おぼ]えてないだろ,you do not even remember my birthday; tanjoubi means birthday.
夏休[なつやす]みが終[お]わっちまうぞ,summer break is about to end; natsuyasumi means summer vacation.
週末[しゅうまつ]は空[あ]いてるのかよ,are you free this weekend; shuumatsu means weekend.
デートくらい誘[さそ]えよ,at least ask me out on a date; deeto means a date.
バイトばっかりで会[あ]えないな,your part time job keeps us from meeting; baito means a part time job.
終電[しゅうでん]までまだ時間[じかん]あるだろ,there is still time before the last train; shuuden means the last train.
そろそろ急[いそ]ぐぞ置[お]いてくからな,we are hurrying now or I leave you behind; isogu means to hurry.
ここに並[なら]ぶしかないみたいだな,looks like we just have to line up here; narabu means to line up.
早[はや]く靴[くつ]を履[は]くんだよ,hurry up and put your shoes on; haku means to put on footwear.
次[つぎ]の道[みち]を右[みぎ]に曲[ま]がるんだ,turn right at the next street; magaru means to turn.
後[うし]ろから急[きゅう]に呼[よ]び止[と]めるなよ,do not call out and stop me from behind; yobitomeru means to call someone to a halt.
ちゃんと答[こた]えてくれないか,can you give me a real answer; kotaeru means to answer.
そんな顔[かお]で話[はな]しかけるなよ,do not talk to me with a face like that; hanashikakeru means to speak to someone.
今[いま]からピアノでも習[なら]うつもりかよ,are you going to start learning piano now; narau means to learn.
毎日[まいにち]電車[でんしゃ]で通[かよ]うのは疲[つか]れる,commuting by train every day wears me out; kayou means to commute.
お金[かね]を借[か]りるのはもうやめとけ,stop borrowing money already; kariru means to borrow.
借[か]りた物[もの]は返[かえ]すもんだろ,you give back what you borrow; kaesu means to give back.
明日[あした]まで貸[か]すだけだからな,I am only lending it until tomorrow; kasu means to lend.
あいつをうまく誘[さそ]い出[だ]すしかない,our only move is to lure him out; sasoidasu means to lure out.
子供[こども]をそんなに叱[しか]るなよ,do not scold the kid like that; shikaru means to scold.
自分[じぶん]の弱[よわ]さを認[みと]めろよ,admit your own weakness; mitomeru means to admit.
明日[あした]の試合[しあい]は応援[おうえん]するからな,I will be cheering for you at tomorrow's match; ouen suru means to cheer on.
大会[たいかい]まであと少[すこ]ししかないぞ,there is hardly any time left before the tournament; taikai means tournament.
試合[しあい]までもう時間[じかん]がない,there is barely any time before the match; shiai means a match.
毎日[まいにち]練習[れんしゅう]するしかないんだ,all you can do is practice every day; renshuu suru means to practice.
勉強[べんきょう]なんて後[あと]でいいだろ,studying can wait; benkyou suru means to study.
部屋[へや]の掃除[そうじ]くらいしろよ,at least clean your room; souji suru means to clean.
今日[きょう]の料理[りょうり]は俺[おれ]が作[つく]る,I am cooking today; ryouri means cooking.
帰[かえ]ったらすぐ手[て]を洗[あら]うんだぞ,wash your hands as soon as you get back; arau means to wash.
今夜[こんや]はうちに泊[と]まるか,want to stay over at my place tonight; tomaru means to stay overnight.
また遅刻[ちこく]するつもりかよ,are you planning to be late again; chikoku suru means to be late.
またコップを割[わ]るつもりかよ,are you about to break another cup; waru means to break.
汗[あせ]くらいちゃんと拭[ふ]くんだぞ,at least wipe your sweat off properly; fuku means to wipe.
弁当[べんとう]にちゃんと詰[つ]めてきたぞ,I packed it into the lunch box properly; tsumeru means to pack.
そんなところに貼[は]るなって,do not stick it up in a place like that; haru means to stick on.
暑[あつ]いなら帽子[ぼうし]を被[かぶ]るんだよ,wear a hat if it is hot; kaburu means to wear on the head.
この時間[じかん]は電車[でんしゃ]が混[こ]むぞ,the trains get packed at this hour; komu means to get crowded.
俺[おれ]と付[つ]き合[あ]ってくれないか,will you go out with me; tsukiau means to date someone.
学校[がっこう]の前[まえ]で待[ま]ち合[あ]わせるか,shall we meet up in front of the school; machiawaseru means to arrange to meet.
そんな顔[かお]されると悩[なや]むだろ,when you make that face it makes me agonize; nayamu means to agonize.
人[ひと]の話[はなし]に割[わ]り込[こ]むなよ,do not butt into other people's talk; warikomu means to cut in.
そんなに慌[あわ]てるなって,do not get so flustered; awateru means to be in a rush.
お前[まえ]らいつまで騒[さわ]ぐつもりだ,how long are you all going to make noise; sawagu means to make a racket.
やる気[き]があるなら見[み]せてみろよ,if you have the drive then show it; yaruki means motivation.
勇気[ゆうき]を出[だ]して言[い]ってみろよ,work up the courage and say it; yuuki means courage.
そんな自信[じしん]どこから来[く]るんだよ,where does that confidence come from; jishin means confidence.
今日[きょう]は機嫌[きげん]がいいじゃないか,you are in a good temper today; kigen means someone's temper.
気分[きぶん]が悪[わる]いなら休[やす]めって,if you feel sick then rest; kibun means mood.
お前[まえ]に迷惑[めいわく]はかけたくない,I do not want to be a burden on you; meiwaku means trouble caused to others.
全部[ぜんぶ]俺[おれ]の責任[せきにん]なんだよ,it is all my responsibility; sekinin means responsibility.
そっちの都合[つごう]なんて知[し]らないよ,your circumstances are not my problem; tsugou means circumstances.
冗談[じょうだん]で言[い]ってるんじゃないぞ,I am not saying this as a joke; joudan means a joke.
返事[へんじ]くらいちゃんとしろよ,at least give me a proper reply; henji means a reply.
お前[まえ]、本当[ほんとう]に熱意[ねつい]があんのかよ,do you really have any enthusiasm; netsui means enthusiasm.
自分[じぶん]のことは自分[じぶん]で決[き]めるよ,I decide my own business myself; jibun means oneself.
努力[どりょく]だけは誰[だれ]にも負[ま]けないよ,I will not lose to anyone in effort; doryoku means effort.
見[み]ただけで決[き]めつけるなって,do not judge just from a glance; kimetsukeru means to jump to conclusions.
お前[まえ]を巻[ま]き込[こ]みたくないんだよ,I do not want to drag you into this; makikomu means to involve.
相手[あいて]の目[め]を見[み]て話[はな]せよ,look the other person in the eye and talk; aite means the other party.
自分[じぶん]の考[かんが]えを押[お]し付[つ]けるなよ,do not force your own ideas on me; oshitsukeru means to force on someone.
そんな問題[もんだい]一人[ひとり]で抱[かか]え込[こ]むなよ,do not shoulder a problem like that alone; kakaekomu means to shoulder alone.
そこで開[ひら]き直[なお]るのはずるいだろ,turning defiant at that point is unfair; hirakinaoru means to turn defiant.
これからもずっとそばに寄[よ]り添[そ]いますよ,I will stay close beside you from now on too; yorisou means to stay close beside.
別[べつ]に親[おや]に逆[さか]らうつもりはないよ,it is not like I mean to defy my parents; sakarau means to defy.
そこまで俺[おれ]を疑[うたが]うのかよ,do you doubt me that much; utagau means to doubt.
今[いま]は何[なに]もする気力[きりょく]がない,I have no willpower to do anything now; kiryoku means willpower.
仕事[しごと]だと割[わ]り切[き]ればいいだろ,just treat it as work and move on; warikiru means to compartmentalize.
こんなことで自分[じぶん]を見失[みうしな]うなよ,do not lose sight of yourself over this; miushinau means to lose sight of.
これ以上[いじょう]お前[まえ]の負担[ふたん]になりたくない,I do not want to be a burden on you any longer; futan means burden.
どうして俺[おれ]たちを裏切[うらぎ]ったんだよ,why did you betray us; uragiru means to betray.
お前[まえ]の評価[ひょうか]なんて気[き]にしてないよ,I do not care about your assessment; hyouka means evaluation.
お前[まえ]も真実[しんじつ]を知[し]るべきだ,you should know the truth too; shinjitsu means truth.
今[いま]ここで立[た]ち止[と]まるわけにはいかない,I cannot afford to stop here; tachidomaru means to come to a halt.
あの日[ひ]の記憶[きおく]だけがないんだ,only the memory of that day is missing; kioku means memory.
過去[かこ]の話[はなし]はもうやめようぜ,let us drop talk about the past; kako means the past.
これも運命[うんめい]ってやつなのかな,maybe this is what they call fate; unmei means fate.
そろそろ現実[げんじつ]を見[み]ろよ,it is about time you faced reality; genjitsu means reality.
お前[まえ]を傷[きず]つけるつもりはなかった,I never meant to hurt you; kizutsukeru means to hurt someone.
あんな言[い]い方[かた]じゃ傷[きず]つくだろ,anyone would get hurt spoken to like that; kizutsuku means to get hurt.
感情[かんじょう]で動[うご]くなって言[い]っただろ,I told you not to act on emotion; kanjou means emotion.
たまには本音[ほんね]で話[はな]そうよ,let us talk with real feelings once in a while; honne means true feelings.
俺[おれ]がそばで支[ささ]えてやるからさ,I will support you right beside you; sasaeru means to support.
この悔[くや]しさは絶対[ぜったい]に忘[わす]れない,I will never forget this frustration; kuyashisa means frustration.
今[いま]さら後悔[こうかい]しても遅[おそ]いぞ,it is too late to regret it now; koukai means regret.
まだ希望[きぼう]は残[のこ]ってるはずだ,there should still be hope left; kibou means hope.
絶望[ぜつぼう]するにはまだ早[はや]いって,it is way too early to despair; zetsubou means despair.
あいつの目[め]には恐怖[きょうふ]があった,there was fear in his eyes; kyoufu means fear.
不安[ふあん]なら俺[おれ]がそばにいるよ,if you feel uneasy I will stay near; fuan means unease.
仲間[なかま]を見捨[みす]てるわけないだろ,as if I would abandon a comrade; misuteru means to abandon.
俺[おれ]の決意[けつい]は変[か]わらないぞ,my determination will not change; ketsui means determination.
お前[まえ]の理想[りそう]は高[たか]すぎるんだよ,your ideals are set too high; risou means ideal.
お前[まえ]の存在[そんざい]が俺[おれ]を変[か]えたんだ,your existence changed me; sonzai means existence.
俺[おれ]の立場[たちば]も少[すこ]しは考[かんが]えろよ,give a little thought to my position too; tachiba means standpoint.
そんなに自分[じぶん]を責[せ]めるなって,do not blame yourself so much; semeru means to blame.
恨[うら]むなら俺[おれ]だけを恨[うら]めよ,if you must resent someone resent only me; uramu means to resent.
俺[おれ]はお前[まえ]を信頼[しんらい]してるんだ,I trust you; shinrai means trust.
これはただの誤解[ごかい]だって言[い]ってる,I keep telling you this is just a misunderstanding; gokai means misunderstanding.
あんまり期待[きたい]させるなよな,do not raise my hopes too much; kitai suru means to expect.
あいつの性格[せいかく]は昔[むかし]から変[か]わらない,his personality has not changed since long ago; seikaku means personality.
その態度[たいど]はさすがにないだろ,that attitude is really out of line; taido means attitude.
お前[まえ]さっきすごい表情[ひょうじょう]してたぞ,you made an incredible face earlier; hyoujou means facial expression.
話[はな]してる時[とき]に目[め]を逸[そ]らすなって,do not look away while we are talking; me wo sorasu means to avert one's eyes.
この部屋[へや]の雰囲気[ふんいき]なんか変[へん]だぞ,the atmosphere of this room is somehow off; funiki means atmosphere.
そんなに緊張[きんちょう]しなくていいって,you really do not need to be so tense; kinchou means nervous tension.
こんな時[とき]に油断[ゆだん]するなよ,do not drop your guard at a time like this; yudan means carelessness.
もう迷[まよ]いはないって顔[かお]してるな,your face says you have no hesitation left; mayoi means hesitation.
悩[なや]みがあるなら言[い]えばいいのに,if you have a worry you should just say it; nayami means worry.
お前[まえ]の焦[あせ]りが顔[かお]に出[で]てるぞ,your impatience is showing on your face; aseri means impatience.
意地[いじ]を張[は]るのはもうやめろよ,stop being so stubborn already; iji means stubborn pride.
そんなのただの甘[あま]えじゃないのか,is that not just spoiled dependence; amae means dependence on others.
まだ未練[みれん]が残[のこ]ってるんだろ,you still have lingering attachment right; miren means lingering attachment.
罪悪感[ざいあくかん]で眠[ねむ]れなかったんだよ,guilt kept me from sleeping; zaiakukan means guilt.
お前[まえ]はもう孤独[こどく]じゃないんだ,you are not alone anymore; kodoku means loneliness.
憎[にく]しみだけじゃ何[なに]も変[か]わらない,hatred alone changes nothing; nikushimi means hatred.
その怒[いか]りを俺[おれ]にぶつけろよ,throw that anger at me; ikari means anger.
あいつの悲[かな]しみは俺[おれ]にも分[わ]かる,I understand his sorrow too; kanashimi means sorrow.
お前[まえ]の喜[よろこ]びは俺[おれ]の喜[よろこ]びだ,your joy is my joy; yorokobi means joy.
その優[やさ]しさに何度[なんど]も助[たす]けられた,your kindness saved me many times; yasashisa means kindness.
人[ひと]は誰[だれ]でも弱[よわ]さを持[も]ってる,every person carries weakness; yowasa means weakness.
本当[ほんとう]の強[つよ]さって何[なん]だと思[おも]う,what do you think real strength is; tsuyosa means strength.
こいつの正体[しょうたい]をまだ知[し]らないのか,do you still not know his true identity; shoutai means true identity.
ここが俺[おれ]の居場所[いばしょ]なんだよ,this is where I belong; ibasho means the place one belongs.
それが俺[おれ]の役目[やくめ]だと思[おも]ってる,I believe that is my role; yakume means role.
お前[まえ]には使命[しめい]があるんだろ,you have a mission do you not; shimei means mission.
お前[まえ]の目標[もくひょう]はそんなもんかよ,is that all your goal amounts to; mokuhyou means goal.
俺[おれ]なんかにそんな価値[かち]はないよ,someone like me has no such value; kachi means value.
才能[さいのう]だけで勝[か]てると思[おも]うなよ,do not think talent alone wins; sainou means talent.
今[いま]の実力[じつりょく]じゃまだ足[た]りない,your current ability is still not enough; jitsuryoku means real ability.
もう体[からだ]が限界[げんかい]なんだって,my body is already at its limit; genkai means limit.
お前[まえ]も少[すこ]しは成長[せいちょう]したな,you have grown up a little; seichou means growth.
こんな小[ちい]さな変化[へんか]でも嬉[うれ]しいんだ,even a change this small makes me happy; henka means change.
その選択[せんたく]を後悔[こうかい]するなよ,do not regret that choice; sentaku means choice.
あいつの覚醒[かくせい]はまだこれからだ,his awakening is still to come; kakusei means awakening.
知[し]らないってずっと言[い]い張[は]るのかよ,are you going to keep insisting you know nothing; iiharu means to insist.
これじゃ俺[おれ]の面目[めんぼく]が立[た]たないだろ,this leaves me with no face at all; menboku means face or honor.
あの店[みせ]の評判[ひょうばん]は悪[わる]くないよ,that shop has a decent reputation; hyouban means reputation.
最近[さいきん]少[すこ]し距離[きょり]を感[かん]じます,lately I feel a little distance between us; kyori means distance.
俺[おれ]たちの関係[かんけい]ってなんなんだよ,what even is this relationship of ours; kankei means relationship.
あの二人[ふたり]は昔[むかし]から仲[なか]がいい,those two have been close for ages; naka means terms between people.
俺[おれ]たちの絆[きずな]はそんなに弱[よわ]くない,our bond is not that weak; kizuna means bond.
お前[まえ]とは変[へん]な縁[えん]があるよな,you and I have a strange connection; en means fateful connection.
あの時[とき]の恩[おん]は忘[わす]れてないよ,I have not forgotten what you did for me then; on means debt of gratitude.
これで借[か]りは返[かえ]したからな,with this I have paid you back; kari means a debt owed.
今日[きょう]のは貸[か]しにしとくからな,I will count today as a favor you owe me; kashi means a favor lent.
誰[だれ]かの犠牲[ぎせい]の上[うえ]に立[た]つのか,will you stand on someone else's sacrifice; gisei means sacrifice.
今[いま]さら謝罪[しゃざい]なんていらないって,I do not need an apology at this point; shazai means apology.
そろそろ二人[ふたり]で和解[わかい]しろよ,you two should make peace soon; wakai means reconciliation.
別[わか]れの時[とき]くらい笑[わら]えよ,at least smile when we part; wakare means parting.
こんな形[かたち]で再会[さいかい]するなんて驚[おどろ]きました,I am amazed we meet again like this; saikai means reunion.
あいつは俺[おれ]のたった一人[ひとり]の親友[しんゆう]だ,he is my one and only best friend; shinyuu means best friend.
あいつは敵[てき]じゃなくてライバルなんだ,he is not an enemy he is a rival; raibaru means rival.
ずっと片思[かたおも]いのままでいいのかよ,are you fine staying in one-sided love forever; kataomoi means unrequited love.
それってただの嫉妬[しっと]じゃないの,is that not just jealousy; shitto means jealousy.
失恋[しつれん]くらいで死[し]ぬなよ,do not act like heartbreak will kill you; shitsuren means heartbreak.
復讐[ふくしゅう]しても何[なに]も戻[もど]らないぞ,revenge will not bring anything back; fukushuu means revenge.
文句[もんく]があるなら直接[ちょくせつ]言[い]えよ,if you have a complaint say it to my face; monku means complaint.
そんな言[い]い訳[わけ]は聞[き]きたくない,I do not want to hear that excuse; iiwake means excuse.
人[ひと]の悪口[わるぐち]ばっかり言[い]うなよ,quit badmouthing people all the time; waruguchi means bad-mouthing.
こんなの仕返[しかえ]しにもならないよ,this does not even count as payback; shikaeshi means payback.
ここで勝負[しょうぶ]を決[き]めてやるよ,I will settle the match right here; shoubu means showdown.
いつかあいつと対決[たいけつ]する日[ひ]が来[く]る,the day I face him will come; taiketsu means confrontation.
何度[なんど]でも挑戦[ちょうせん]すればいいだろ,just challenge it as many times as it takes; chousen means challenge.
今日[きょう]こそ決着[けっちゃく]をつけようぜ,today we settle this for good; kecchaku means settlement.
遠[とお]くから見守[みまも]ってるからな,I will be watching over you from afar; mimamoru means to watch over.
なんであんな奴[やつ]を庇[かば]うんだよ,why are you covering for a guy like that; kabau means to shield someone.
他人[たにん]を妬[ねた]むのはもうやめろ,stop envying other people; netamu means to envy.
昔[むかし]はあいつに憧[あこが]れてたんだよ,I used to look up to him; akogareru means to admire.
私[わたし]はあなたを心[こころ]から尊敬[そんけい]しています,I respect you from the bottom of my heart; sonkei suru means to respect.
そうやって人[ひと]を見下[みくだ]すなよ,do not look down on people like that; mikudasu means to look down on.
お前[まえ]のことちょっと見直[みなお]したよ,I think a bit better of you now; minaosu means to reassess favorably.
あいつに惚[ほ]れちゃったってわけか,so you went and fell for him; horeru means to fall for someone.
理由[りゆう]もなく人[ひと]を嫌[きら]うなよ,do not dislike people for no reason; kirau means to dislike.
最近[さいきん]俺[おれ]のこと避[さ]けてるだろ,you have been avoiding me lately; sakeru means to avoid.
あいつが立[た]ち直[なお]るまで待[ま]とうぜ,let us wait until he gets back on his feet; tachinaoru means to recover emotionally.
二人[ふたり]でなら乗[の]り越[こ]えられるって,the two of us can get through it; norikoeru means to overcome.
その現実[げんじつ]を受[う]け入[い]れるしかない,we have no choice but to accept that reality; ukeireru means to accept.
誰[だれ]かに打[う]ち明[あ]けたほうが楽[らく]だぞ,you will feel lighter if you confide in someone; uchiakeru means to confide.
明日[あした]こそ告白[こくはく]するって決[き]めた,I decided to confess tomorrow for sure; kokuhaku suru means to confess love.
そこまで否定[ひてい]しなくてもいいだろ,you do not have to deny it that hard; hitei suru means to deny.
あいつを説得[せっとく]するのは無理[むり]だよ,persuading him is impossible; settoku suru means to persuade.
もう二度[にど]と逃[に]げないと誓[ちか]うよ,I swear I will never run again; chikau means to swear.
大丈夫[だいじょうぶ]だって自分[じぶん]に言[い]い聞[き]かせてた,I kept telling myself it would be fine; iikikaseru means to tell oneself.
うまくいくように祈[いの]るしかないな,all we can do is pray it goes well; inoru means to pray.
そんな言葉[ことば]で慰[なぐさ]めないでください,please do not console me with words like that; nagusameru means to console.
みんなであいつを励[はげ]ましてやろうぜ,let us all cheer him up; hagemasu means to encourage.
そんなに人[ひと]に依存[いぞん]するなって,do not lean on people that much; izon suru means to depend on.
今[いま]はこれに打[う]ち込[こ]むしかないんだ,right now I can only throw myself into this; uchikomu means to devote oneself.
俺[おれ]たちの仲[なか]で遠慮[えんりょ]するなって,no holding back between us; enryo suru means to hold back politely.
さっきから無視[むし]するのやめてくれよ,quit ignoring me already; mushi suru means to ignore.
笑[わら]って誤魔化[ごまか]すのはもうやめろ,stop laughing it off; gomakasu means to gloss over.
お前[まえ]の嘘[うそ]なんてすぐ見抜[みぬ]けるよ,I can see through your lies instantly; minuku means to see through.
あんな悪口[わるぐち]は聞[き]き流[なが]せばいい,just let trash talk like that go past you; kikinagasu means to let pass unheeded.
そこまで言[い]い切[き]るなら信[しん]じるよ,if you assert it that firmly I will believe you; iikiru means to assert firmly.
終[お]わった話[はなし]を蒸[む]し返[かえ]すなよ,do not rehash a matter that is over; mushikaesu means to rehash.
いちいちあいつと張[は]り合[あ]うなって,stop competing with him over every little thing; hariau means to vie with.
そんなに睨[にら]むなよ怖[こわ]いから,do not glare at me like that it is scary; niramu means to glare.
あいつが珍[めずら]しく微笑[ほほえ]んだんだ,he smiled which is rare for him; hohoemu means to smile softly.
そんなことで動揺[どうよう]してんじゃねえよ,do not get rattled over something like that; douyou suru means to be shaken.
たまには素直[すなお]に褒[ほ]めてやれよ,praise him honestly once in a while; homeru means to praise.
ちょっと褒[ほ]められたくらいで照[て]れるなよ,do not get shy over a little praise; tereru means to feel shy.
さっきから手[て]が震[ふる]えてるじゃんか,your hands have been shaking this whole time; furueru means to tremble.
お前[まえ]のバカさには呆[あき]れるよ,your stupidity leaves me speechless; akireru means to be dumbfounded.
一人[ひとり]で苦[くる]しむのはもうやめろって,stop suffering by yourself; kurushimu means to suffer.
ここは耐[た]えるしかないんだよ,we can only endure here; taeru means to endure.
そんなに落[お]ち込[こ]むなって,do not get so down about it; ochikomu means to feel depressed.
勝手[かって]に思[おも]い込[こ]むなよな,do not jump to your own conclusions; omoikomu means to assume firmly.
自分[じぶん]の過去[かこ]と向[む]き合[あ]えよ,face your own past; mukiau means to face something.
一度[いちど]ちゃんと話[はな]し合[あ]おうぜ,let us talk it out properly for once; hanashiau means to talk things over.
あいつとも少[すこ]しは打[う]ち解[と]けたよ,I have warmed up to him a bit; uchitokeru means to open up to.
そんなに見[み]つめられると困[こま]るって,it is awkward when you stare at me like that; mitsumeru means to gaze at.
怒[おこ]るんじゃなくて諭[さと]すんだよ,you talk sense into him instead of getting angry; satosu means to admonish gently.
そこまで問[と]い詰[つ]めなくてもいいだろ,you do not have to grill him that hard; toitsumeru means to press for answers.
何[なに]も言[い]い返[かえ]せなかったんだ,I could not talk back at all; iikaesu means to talk back.
そんなに思[おも]い詰[つ]めるなって言[い]ってる,I am telling you not to brood so much; omoitsumeru means to brood.
あいつのそういうとこ気[き]に入[い]ってる,I like that side of him; ki ni iru means to take a liking to.
いつか絶対[ぜったい]に見返[みかえ]してやる,someday I will definitely prove them wrong; mikaesu means to succeed and show them up.
なんでも突[つ]き詰[つ]めればいいってもんじゃない,getting to the bottom of everything is not always right; tsukitsumeru means to pursue to the end.
怖[こわ]くなって逃[に]げ出[だ]したのかよ,did you get scared and run away; nigedasu means to run away.
ここが踏[ふ]ん張[ば]りどころなんだよ,this is where we dig in and hold on; funbaru means to stand firm.
駅[えき]まで見送[みおく]ってやるよ,I will see you off at the station; miokuru means to see off.
行[い]くなら引[ひ]き止[と]めないからな,if you are going I will not stop you; hikitomeru means to hold someone back.
困[こま]った時[とき]は助[たす]け合[あ]おうぜ,let us help each other when times are hard; tasukeau means to help one another.
あいつの真面目[まじめ]さを見習[みなら]えよ,take a lesson from how earnest he is; minarau means to follow someone's example.
お前[まえ]には根性[こんじょう]が足[た]りないんだよ,you are short on guts; konjou means guts.
あいつの度胸[どきょう]だけは認[みと]めるよ,I will give him credit for his nerve; dokyou means nerve.
そんなに意識[いしき]しなくてもいいのに,you really do not have to be so aware of it; ishiki means awareness.
やっと本性[ほんしょう]を出[だ]したなお前[まえ],you finally showed your true nature; honshou means true nature.
誰[だれ]にでも弱点[じゃくてん]はあるもんだよ,everybody has a weak point; jakuten means weak point.
その癖[くせ]いい加減[かげん]直[なお]せよ,fix that habit of yours already; kuse means habit.
俺[おれ]にも事情[じじょう]があったんだよ,I had my own circumstances too; jijou means circumstances.
あの夏[なつ]の思[おも]い出[で]は忘[わす]れない,I will not forget the memories of that summer; omoide means recollection.
あいつには見込[みこ]みがあると思[おも]うよ,I think he has real promise; mikomi means prospects.
口[くち]では感謝[かんしゃ]してるって言[い]えよ,at least say out loud that you are grateful; kansha means gratitude.
少[すこ]しは反省[はんせい]してるのかよ,are you reflecting on it even a little; hansei suru means to reflect on one's actions.
俺[おれ]はあいつに義理[ぎり]があるんだよ,I owe him an obligation; giri means obligation.
あいつの世話[せわ]は俺[おれ]がするからさ,I will take care of him; sewa means looking after someone.
その気遣[きづか]いだけで十分[じゅうぶん]だよ,your consideration alone is plenty; kizukai means consideration.
俺[おれ]の勘[かん]がそう言[い]ってるんだよ,my gut is telling me so; kan means intuition.
もう少[すこ]し思[おも]いやりを持[も]てよ,have a bit more compassion; omoiyari means compassion for others.
お前[まえ]のことは信用[しんよう]してないから,I do not trust you; shinyou suru means to trust.
裏[うら]があるって顔[かお]に書[か]いてあるぞ,your face says there is something behind this; ura means hidden side.
一度[いちど]でいいから本心[ほんしん]を聞[き]かせてください,please let me hear your real feelings just once; honshin means real feelings.
そこまで突[つ]き放[はな]さなくてもいいだろ,you did not have to push me away that hard; tsukihanasu means to push away.
もう誰[だれ]にも縋[すが]るつもりはない,I do not intend to cling to anyone anymore; sugaru means to cling.
みんながあいつを慕[した]う理由[りゆう]が分[わ]かる,I see why everyone adores him; shitau means to adore.
俺[おれ]を憎[にく]むのは勝手[かって]だけどな,you are free to hate me; nikumu means to hate.
そうやって甘[あま]やかすからダメなんだよ,he turns out bad because you spoil him like that; amayakasu means to spoil someone.
弱音[よわね]を吐[は]くのはお前[まえ]らしくない,whining is not like you; yowane means whining words.
気合[きあい]が足[た]りないんだよお前[まえ]は,you are short on fighting spirit; kiai means fighting spirit.
こんな時[とき]に見栄[みえ]を張[は]るなよ,do not put on a front at a time like this; mie means vanity or show.
泣[な]き言[ごと]ばっかり言[い]ってんじゃねえよ,quit whimpering all the time; nakigoto means a complaint or whimper.
親[おや]に反発[はんぱつ]したくなる時[とき]もある,there are times you want to rebel against your parents; hanpatsu suru means to rebel.
そんなの建前[たてまえ]に決[き]まってるじゃん,that is obviously just a public face; tatemae means public stance.
そろそろ攻撃[こうげき]が来[く]るぞ,the attack is coming soon; kougeki means attack.
今度[こんど]こそ仕留[しと]めてやるからな,I will finish it off for good this time; shitomeru means to bring down.
変[へん]な反応[はんのう]が出[で]てるぞ,a strange reading is showing up; hannou means a reaction.
武器[ぶき]なしじゃ無理[むり]だろ,it is impossible without a weapon; buki means weapon.
弓[ゆみ]なら俺[おれ]に任[まか]せてくれ,leave the bow to me; yumi means bow.
あいつは俺[おれ]の命[いのち]を狙[ねら]うつもりだ,he intends to go after my life; nerau means to aim at.
もう一歩[いっぽ]踏[ふ]み込[こ]めって,step in one pace deeper; fumikomu means to step in.
一撃[いちげき]で終[お]わらせてやる,I will end it in a single blow; ichigeki means one strike.
闘志[とうし]だけじゃどうにもならないぞ,fighting spirit alone will not fix this; toushi means fighting spirit.
こんな冒険[ぼうけん]、二度[にど]とごめんだ,I never want an adventure like this again; bouken means adventure.
なんとか撃退[げきたい]できたみたいだな,it seems we managed to drive them off; gekitai suru means to repel.
正面[しょうめん]から突破[とっぱ]するぞ,we are breaking through from the front; toppa suru means to break through.
迎撃[げいげき]の用意[ようい]はできてるか,are you ready to intercept them; geigeki means interception.
最初[さいしょ]から全力[ぜんりょく]で行[い]くぞ,I am going all out from the start; zenryoku means full power.
