ja,en
**普通[ふつう]**,ordinary; (n) for the unremarkable baseline everyone assumes without saying.
**話[はな]す**,to speak; (v) for the act of speaking with someone about something.
**完全[かんぜん]**,complete; (na-adj) saying nothing is missing and working adverbially as thoroughly.
**能力[のうりょく]**,ability; (n) for general capacity a person possesses by nature or training.
**さっさと**,quickly; (adv) Impatient adverb telling someone to hurry up and be done.
**まず**,first of all; (adv) ordering steps in a plan or argument and never moments in time.
**命令[めいれい]**,order; (n) for an instruction coming down from authority where refusal is disobedience.
**場合[ばあい]**,case; (n) for a hypothetical set of circumstances despite looking spatial.
**最初[さいしょ]**,the first; (n) for the opening item of a sequence before anything else happens.
**師匠[ししょう]**,master; (n) for the master of a craft you apprentice yourself under.
**迷宮[めいきゅう]**,labyrinth; (n) literally meaning bewildering palace for a maze built to confuse you.
**たった**,only; (adv) clinging to a number to stress how small it is.
**行動[こうどう]**,action; (n) for observable conduct or a course of action a person takes.
**かかる**,to take time or money; (v) where time or money is the subject being consumed.
**名乗[なの]る**,to give one's name; (v) for declaring your own name or title possibly one you falsely claim.
**場[ば]**,place; (n) for the occasion or scene unfolding around you at the moment.
**理解[りかい]**,understanding; (n) for formally grasping how something works in your head.
**結果[けっか]**,result; (n) for what a cause produced often delivered as a verdict.
**生徒[せいと]**,pupil; (n) for a school student under a classroom teacher.
**効果[こうか]**,effect; (n) for the impact something produces where it lands on a target.
**個体[こたい]**,individual; (n) Biology noun counting one organism apart from its species.
**調査[ちょうさ]**,investigation; (n) for organised fact-finding carried out over time by a group.
**動[うご]き**,movement; (n) for physical motion and also trends in troops or markets.
**ボス**,boss; (n) Loanword for the top monster of a lair or a gang's head.
**見事[みごと]**,splendid; (na-adj) literally worth seeing praising skilled execution from a spectator's view.
**命[いのち]**,life; (n) for the single life you can lose and stake in oaths.
**実力[じつりょく]**,real ability; (n) for ability you have actually proved in practice not what your title claims.
**操[あやつ]る**,to manipulate; (v) for working something from outside like a puppet on strings including a mind.
**新[あら]た**,new; (na-adj) Stiff written adjective for newness that must take na before the noun it modifies.
**訓練[くんれん]**,training; (n) for drilling under a set program such as military or magical instruction.
**店[みせ]**,shop; (n) for any commercial premises from a food stall to a bar or restaurant.
**そろそろ**,soon; (adv) signalling that the right moment has quietly arrived and it is time to move.
**口[くち]**,mouth; (n) stretching from the body part to speech itself and to any opening.
**ちゃんと**,properly; (adv) Casual spoken adverb meaning done the way it ought to be with nothing skipped.
**戦士[せんし]**,warrior; (n) for the fighting role itself with no oath of service to any lord implied.
**参[まい]る**,to go or come (humble); (v) Humble verb for your own going or coming toward a superior and also shouted when attacking.
**大[おお]きい**,big; (i-adj) for size that also covers a loud voice and a serious problem.
**楽[たの]しみ**,something to look forward to; (n) for anticipation so the pleasure it names is still ahead of you.
**元気[げんき]**,healthy; (na-adj) built from origin plus spirit covering both sound health and visible liveliness.
**嬉[うれ]しい**,happy; (i-adj) for a spike of gladness at an event and it reports your own feeling.
**説明[せつめい]**,explanation; (n) for laying out how something works for someone who does not yet know.
**生[う]まれる**,to be born; (v) Intransitive verb so the thing comes into being by itself with nobody producing it.
**恐[おそ]れる**,to fear; (v) Deliberate verb for dreading something as a considered attitude toward danger.
**技[わざ]**,technique; (n) for a honed physical move such as a named finishing strike in combat.
**状況[じょうきょう]**,situation; (n) for how circumstances stand right now so it can shift minute to minute.
**従[したが]う**,to obey; (v) for falling in behind someone's lead and marking that person with ni.
**同[おな]じ**,the same; (na-adj) Odd adjective that drops its na when it sits directly before the noun.
**足[た]りる**,to be enough; (v) Intransitive verb marking the sufficient amount with ga so you cannot do it to something.
**しっかり**,firmly; (adv) stressing firmness and reliability of a grip or of a person's character.
**紹介[しょうかい]**,introduction; (n) for presenting one party to another so someone else does the presenting.
**冗談[じょうだん]**,joke; (n) for a remark not meant seriously and used to protest an unacceptable situation.
**やばい**,dicey; (i-adj) Slangy adjective from thieves' cant for dangerous now stretched by youth to anything extreme.
**飲[の]む**,to drink; (v) covering anything taken down unchewed including soup and pills though it usually implies alcohol.
**計画[けいかく]**,plan; (n) for a worked-out scheme with concrete steps not a vague private intention.
**罠[わな]**,trap; (n) for a snare deliberately set and it works for verbal traps too.
**甘[あま]い**,sweet; (i-adj) running from sweet taste to going easy on people to naive optimism.
**住民[じゅうみん]**,resident; (n) Flat administrative noun built from dwell plus people for whoever lives in a place.
**初[はじ]めて**,for the first time; (adv) marking a first ever experience in your life not merely an opening item.
**失敗[しっぱい]**,failure; (n) for a botched attempt measured against your own aim so no opponent is needed.
**ただし**,however; (conj) attaching a restricting proviso to something just granted so a limit follows.
**ドラゴン**,dragon; (n) Loanword for the western scaled beast and this world uses it as the species name.
**結[むす]ぶ**,to tie; (v) that literally knots a cord so pacts get tied and speeches get rounded off.
**騙[だま]す**,to deceive; (v) demanding intent by the deceiver so an honest slip never counts.
**なかなか**,quite; (adv) meaning impressively so before a positive and flipping to not easily with a negative.
**要[い]る**,to be needed; (v) for something being needed and it marks that needed thing with ga.
**腕[うで]**,arm; (n) for the arm from shoulder to wrist and by metaphor hands-on ability.
**真似[まね]**,imitation; (n) for mimicking someone's manner usually scolding and it also covers pulling foolish stunts.
**軍勢[ぐんぜい]**,army; (n) counting an army as a visible mass of troops on the march.
**交渉[こうしょう]**,negotiation; (n) for bargaining where both sides give ground to reach agreed terms.
**申[もう]す**,to say (humble); (v) Humble verb for your own speaking toward a superior and the formal way to name yourself.
**興味[きょうみ]**,interest; (n) for the pull you feel toward something and it takes ni on that target.
**増[ま]す**,to increase; (v) Literary intransitive verb for a rise in amount or degree happening of itself.
**水[みず]**,water; (n) for cold water only so heated water falls outside its range entirely.
**マスター**,master of a shop or a skill; (n) Loanword for addressing the person you serve such as an employer or a barman.
**思念[しねん]**,a thought sent by mind; (n) for a thought pushed mind to mind and this world uses it for telepathy.
**打[う]つ**,to hit; (v) for one sharp blow with something held and it hides in taking measures.
**答[こた]える**,to answer; (v) for replying to a question or a call and it marks that with ni.
**頼[たよ]る**,to rely on; (v) for leaning on someone as ongoing support and not for one small favour.
**油断[ゆだん]**,carelessness; (n) literally saying the oil is cut so the lamp dies during your slack moment.
**量[りょう]**,quantity; (n) for uncountable bulk so it measures mass or volume and never counts heads.
**信用[しんよう]**,trust; (n) for credit earned through a track record so it can be built or lost.
**滅[ほろ]ぼす**,to destroy; (v) for wiping out a whole people or country so objects are too small for it.
**決[き]める**,to decide; (v) Transitive verb so someone does the deciding and the matter does not settle by itself.
**里[さと]**,village; (n) for a home settlement carrying warm nostalgia for where you came from.
**同盟[どうめい]**,alliance; (n) for a formal sworn pact between powers with obligations on both sides.
**盟主[めいしゅ]**,the leader of an alliance; (n) for the chairing power of a sworn pact holding no crown of its own.
**うるさい**,noisy; (i-adj) for physically noisy and barked at people it means you are being annoying.
**構[かま]う**,to mind; (v) for caring enough to be bothered so its negative grants permission.
**気配[けはい]**,a sign or presence one can sense; (n) for a presence felt without seeing or hearing it and it pairs with sensing.
**オーラ**,aura; (n) Loanword for visible pressure radiating off a powerful being in this world.
**親父[おやじ]**,old man; (n) Rough male noun for one's own father and a familiar jab at any older man.
**死[し]**,death; (n) Abstract noun that stays in written or grand speech so ordinary talk avoids it.
**仕[つか]える**,to serve a lord; (v) for standing in a lord's permanent service as a retainer would.
**じじい**,old geezer (rude); (n) Deliberately insulting noun for an old man so saying it to his face starts fights.
**クラス**,class at school or of rank; (n) Loanword for a school class and also a rank tier used for monster grades.
**貴族[きぞく]**,noble; (n) for hereditary aristocracy holding land and privilege below the crown itself.
**祭[まつ]り**,festival; (n) for a public shrine rooted celebration with stalls and crowds filling the streets.
**宴[うたげ]**,banquet; (n) Archaic literary noun for a feast so nobles and demon lords favour it.
**覚[おぼ]える**,to learn by heart; (v) for getting something into your head and keeping it there for later use.
**どんな**,what kind of; (dem) asking for a description and it must sit directly in front of a noun.
**どれ**,which one; (dem) picking one from three or more and it stands alone with no noun following.
**せい**,fault; (n) assigning blame for a bad outcome so it never credits a good one.
**戦力[せんりょく]**,fighting strength; (n) for measurable combat assets counted in troops and weapons on hand.
**尽[つ]くす**,to exhaust; (v) for using something up to zero and it lives in fixed effort phrases.
**住[す]む**,to live; (v) needing ni for the place and normally appearing in the ongoing form.
**仮面[かめん]**,mask; (n) literally saying temporary face so it carries the sense of a hidden true self.
**安全[あんぜん]**,safe; (na-adj) for objective absence of danger measured from outside your own feelings.
**伝[つた]える**,to convey; (v) for handing a message onward to a third party so a relay is implied.
**身[み]**,body; (n) for your own person and body as one unit in many fixed phrases.
**気付[きづ]く**,to notice; (v) for the moment awareness lands and it marks the thing noticed with ni.
**続[つづ]ける**,to continue something; (v) Transitive verb so you keep the activity going by your own effort.
**怖[こわ]い**,scary; (i-adj) covering both the frightening thing and your own fright so context decides.
**切[き]る**,to cut; (v) for a clean blade stroke and it hides in ending a phone call.
**久[ひさ]しい**,long since; (i-adj) for much time having passed and it lives mainly inside set expressions.
**多[おお]い**,many; (i-adj) for large number that cannot sit directly in front of the noun.
**弱[よわ]い**,weak; (i-adj) also covering poor skill and weak drink or gentle heat.
**怪我[けが]**,injury; (n) for external damage from an accident or a fight so sickness is excluded.
**意思[いし]**,will; (n) for your intent to act which can be stated declared or ignored.
**大臣[だいじん]**,minister of state; (n) literally saying great retainer and denoting a crown appointment to high office.
**完成[かんせい]**,completion; (n) for a built thing reaching finished form so mere stopping does not count.
**世話[せわ]**,care; (n) for hands-on caretaking and used to thank someone for having supported you.
**なし**,none; (n) Blunt noun for absence used on signs labels and clipped reports.
**救[すく]う**,to rescue; (v) for rescuing from ruin or doom on a grand scale.
**起[お]きる**,to get up; (v) for both rising from bed and an event occurring by itself.
**作戦[さくせん]**,strategy; (n) for a battle plan with tactics aimed at beating an opponent.
**マスク**,mask; (n) Loanword for a soft worn face covering such as a surgical one.
**彼女[かのじょ]**,she; (pron) for a female third person that also serves as the word for one's romantic partner.
**かわいい**,cute; (i-adj) for small helpless charm that can carry pity as much as praise.
**東[ひがし]**,east; (n) naming a compass direction and by extension the lands lying that way.
**警戒[けいかい]**,vigilance; (n) for a sustained watchful readiness you maintain toward danger not a single act.
**覚悟[かくご]**,resolve; (n) for steeling yourself to accept the worst outcome before it arrives.
**責任[せきにん]**,responsibility; (n) for accountability owed after a result so one carries it or takes it on.
**残念[ざんねん]**,a shame; (na-adj) of mild letdown at how events turned out with no deep grief implied.
**炎[ほのお]**,flame; (n) for a visible leaping blaze felt as living and dramatic in stories.
**少[すく]ない**,few; (i-adj) of small quantity only so it never describes physical size.
**受[う]け入[い]れる**,to accept; (v) for taking a person or condition inside your own side willingly.
**耐性[たいせい]**,resistance to an element or attack; (n) for a standing immunity you possess listed like a status attribute.
**ずっと**,the whole time; (adv) of unbroken continuation that also intensifies comparisons into by far.
**数[かず]**,number; (n) for how many things there are as a counted quantity.
**どちら**,which; (dem) Polite question word picking between two options and softly asking which direction or person.
**ルール**,rule; (n) Loanword noun for game and social rules with a light everyday feel.
**勝[か]ち**,a win; (n) counting a victory in scores and matches with a plain unceremonious feel.
**望[のぞ]む**,to wish for; (v) for desiring an outcome in a weighty and somewhat distant formal register.
**階層[かいそう]**,floor or level of the labyrinth; (n) for one stratum of a dungeon stacked as layers you descend through.
**対[たい]**,versus; (n) placed between two opposing sides on a match card or fixture.
**草[くさ]**,grass; (n) covering wild herbs and low plants generally not merely a tended lawn.
**そもそも**,to begin with; (adv) rewinding to the premise and hinting the whole thing was misguided from the start.
**発動[はつどう]**,activation of a skill or spell; (n) for a skill firing off with the power itself as the actor.
**ひどい**,terrible; (i-adj) spanning moral cruelty and sheer severity so of weather it just means bad.
**元[もと]**,origin; (n) for an original state and before a noun it works like ex.
**願[ねが]い**,wish; (n) for a plea aimed at someone which can also mean a prayer.
**狙[ねら]う**,to aim at; (v) for lining a weapon up or fixing intent on a person or prize.
**影響[えいきょう]**,influence; (n) for a neutral knock-on consequence spreading from one thing to another.
**父[ちち]**,father; (n) you use for your own father when speaking to people outside the family.
**遠慮[えんりょ]**,holding back out of politeness; (n) for hanging back so as not to impose which negated means go ahead.
**正体[しょうたい]**,true identity; (n) for what hides beneath a disguise once the mask finally comes off.
**ライオン**,lion; (n) Loanword noun for the actual African animal and not heraldic or mythic beasts.
**賢者[けんじゃ]**,sage; (n) for a wise elder figure and here the name of a unique skill.
**暇[ひま]**,free time; (n) for spare time so calling a person this can imply they are idle.
**反応[はんのう]**,reaction; (n) used for sensor blips and chemical changes as well as a person's response.
**長[なが]い**,long; (i-adj) of extent in space or duration never distance away from you.
**どうせ**,in any case; (adv) of resignation where the speaker has already accepted a bad outcome and sounds cynical.
**まるで**,as if; (adv) setting up a simile and expecting a likeness word later in the sentence.
**大[たい]した**,significant; (exp) sitting before a noun and almost always negated to dismiss something as minor.
**武器[ぶき]**,weapon; (n) for the whole category of martial implements including guns and clubs.
**偉[えら]い**,great; (i-adj) praising character or rank and often used warmly toward children.
**始[はじ]まる**,to begin by itself; (v) for something starting on its own so the thing beginning is the subject.
**化[ば]け物[もの]**,monster; (n) thrown in awe or insult at a being of unnatural overwhelming power.
**嘘[うそ]**,lie; (n) for a falsehood which shouted alone works as an exclamation of disbelief.
**ポーション**,potion; (n) Loanword noun for a game healing item with no link to food servings.
**効[き]く**,to be effective; (v) taking the remedy or attack as its subject when it produces an effect.
**承知[しょうち]**,understood; (n) of servant register for accepting an order from someone above you.
**考[かんが]え**,thought; (n) for a worked out plan or standpoint reached by thinking it through.
**始末[しまつ]**,dealing with something; (n) for seeing a mess through to its end and of people finishing them off.
**敵対[てきたい]**,hostility; (n) for taking a hostile stance which need not break into actual combat.
**売[う]る**,to sell; (v) for handing goods over for money with the seller as subject.
**明日[あした]**,tomorrow; (n) for the day after today in ordinary everyday speech.
**刺[さ]す**,to stab; (v) for a point first thrust that enters the body or surface.
**完了[かんりょう]**,completion; (n) for the clipped report that a task reached its intended goal.
**仕方[しかた]ない**,it can't be helped; (i-adj) phrase of pure resignation to circumstances and never an apology for choices.
**笑[わら]う**,to laugh; (v) covering a silent grin as much as loud laughter so context decides.
**存[ぞん]じる**,to know (humble); (v) of humble register lowering the speaker when stating what he knows.
**ただ**,just; (adv) downgrading a noun to mere and elsewhere meaning simply or nothing more.
**落[お]ち着[つ]く**,to calm down; (v) for settling of its own accord which barked becomes an order to relax.
**伝達[でんたつ]**,transmission; (n) for passing a message down an official chain of command.
**大[おお]きな**,big; (exp) of size frozen to sit before a noun and unable to end sentences.
**技術[ぎじゅつ]**,technology; (n) for the accumulated body of technique and method behind making things.
**道[みち]**,road; (n) for a physical route and also the way of a lifelong discipline.
**癖[くせ]**,habit; (n) for an involuntary tic you barely notice which leans slightly negative.
**文句[もんく]**,complaint; (n) for grumbling said out loud literally meaning a phrase of words.
**苦労[くろう]**,hardship; (n) for drawn out toil you endure over time often on someone's behalf.
**推測[すいそく]**,conjecture; (n) for an inference drawn from evidence you actually have in hand.
**どの**,which (before a noun); (dem) Question word glued to a following noun to pick one from a set.
**心[こころ]**,heart; (n) for the seat of feeling and will as opposed to cold intellect.
**国王[こくおう]**,the king of a country; (n) for the human sovereign ruling a nation as an official rank.
**相談[そうだん]**,consultation; (n) for two way discussion aimed at reaching a decision together.
**ゆっくり**,slowly; (adv) of unhurried pace which also invites someone to take their ease.
**ともかく**,anyway; (adv) shelving the argument to deal with whatever matters most right now.
**終了[しゅうりょう]**,end; (n) announcing that a scheduled activity has reached its appointed stopping point.
**提案[ていあん]**,proposal; (n) for something formally put on the table for others to weigh.
**奪[うば]う**,to take by force; (v) wrenching something away from an owner who does not consent.
**消[き]える**,to disappear; (v) happening by itself with nobody acting to remove the thing.
**村長[そんちょう]**,village chief; (n) for the local head of a village holding modest civic authority.
**許可[きょか]**,permission; (n) for sanction formally granted by an authority holding the power to refuse.
**きっと**,surely; (adv) voicing the speaker's own conviction about something still unproven.
**何者[なにもの]**,who someone is; (n) demanding what kind of being someone is and often sounding suspicious.
**蹂躙[じゅうりん]**,trampling; (n) for trampling a place underfoot as a heavy literary image of violation.
**金貨[きんか]**,gold coin; (n) for minted gold currency counted piece by piece as flat discs.
**夢[ゆめ]**,dream; (n) spanning sleeping visions and life ambitions and it pairs with seeing.
**眠[ねむ]る**,to sleep; (v) for the state of being asleep and by extension lying dead.
**消滅[しょうめつ]**,annihilation; (n) for being wiped out of existence permanently with nothing left behind.
**様子[ようす]**,state; (n) for the visible look of a scene or a person's manner.
**各国[かっこく]**,each country; (n) for the various nations taken one by one across a region.
**襲[おそ]う**,to attack; (v) for a sudden descent on a place or person catching them unready.
**失[うしな]う**,to lose; (v) for losing something weighty in a way you cannot undo.
**成長[せいちょう]**,growth; (n) for natural gradual development of a body or character over time.
**いかが**,how about it (polite); (exp) Polite expression used when offering something or asking a superior's wishes.
**依頼[いらい]**,request; (n) for a formal job request carrying an expectation of payment.
**出向[でむ]く**,to head out to a place; (v) for going to where the other party is and shouldering that effort.
**姫[ひめ]**,princess; (n) for a highborn daughter which also works as a title after her name.
**加減[かげん]**,degree; (n) for dialing an amount up or down to hit the right level.
**脅威[きょうい]**,threat; (n) for the looming menace a hostile power poses to your side.
**終[お]わり**,the end; (n) announcing something is over as a plain declaration of closure.
**以外[いがい]**,other than; (n) excluding whatever precedes it from the statement that follows.
**管理[かんり]**,management; (n) for ongoing administrative upkeep of a system or facility.
**判断[はんだん]**,judgment; (n) for weighing available facts to arrive at a conclusion.
**聞[き]こえる**,to be audible; (v) for a sound reaching your ears on its own without you choosing to listen.
**落[お]ちる**,to fall; (v) for falling that also covers flunking an exam or a castle being taken.
**しゃべる**,to chatter; (v) for idle chatter with a loose mouth and a blunt casual ring.
**牢獄[ろうごく]**,prison; (n) for a grim stone cell where prisoners are locked away by force.
**ギルド**,guild; (n) Borrowed noun for the chartered body that licenses adventurers and hands out jobs.
**食[く]らう**,to devour; (v) for gulping something down and roughly for taking a hit or a scolding.
**全部[ぜんぶ]**,all of it; (n) for the whole countable lot of something with nothing left over.
**決[き]まる**,to be decided; (v) for a matter settling itself so no decider is named.
**兄弟[きょうだい]**,siblings; (n) literally saying elder brother plus younger brother yet covering siblings of any gender.
**思[おも]い**,feelings; (n) for what your heart holds meaning attachment longing or resentment.
**昔[むかし]**,the past; (n) for a hazy distant past with no date you could pin down.
**挨拶[あいさつ]**,greeting; (n) for the whole social ritual of greeting including bows and opening remarks.
**大事[だいじ]**,important; (na-adj) for something you personally treasure and want kept safe.
**厄介[やっかい]**,troublesome; (na-adj) for something that saddles you with tiresome bother to sort out.
**戦闘[せんとう]**,combat; (n) for one armed engagement as a technical military term.
**会議[かいぎ]**,meeting; (n) for a seated formal session where a council debates and decides.
**娘[むすめ]**,daughter; (n) for your own daughter and loosely for any unmarried young woman.
**難[むずか]しい**,difficult; (i-adj) for something hard to grasp or handle and also awkward to arrange.
**向[む]こう**,the other side; (n) for the far side away from you and also the opposing party in talks.
**女王[じょおう]**,queen; (n) for a woman who reigns in her own right.
**噂[うわさ]**,rumor; (n) for neutral hearsay passed around with no built in judgement.
**家[いえ]**,house; (n) for the physical building and by extension the family line living in it.
**結構[けっこう]**,quite; (adv) for a surprising degree of something and on its own a polite refusal.
**再生[さいせい]**,regeneration; (n) literally saying live again used for tissue regrowing and for playback.
**喜[よろこ]ぶ**,to be delighted; (v) for showing delight outwardly so others can see your joy.
**無限[むげん]**,infinity; (n) literally saying no limit and a favourite flourish in skill names.
**最近[さいきん]**,recently; (n) for a stretch of recent days reaching up to now.
**兵士[へいし]**,soldier; (n) for a rank and file trooper who follows orders.
**しかも**,moreover; (conj) piling one more point onto what was just said usually a worse one.
**代[か]わり**,substitute; (n) for the stand in that takes another's place or turn.
**客[きゃく]**,guest; (n) covering an invited guest and a paying customer alike.
**疲[つか]れ**,fatigue; (n) treating tiredness as a thing that piles up and lingers in you.
**勝利[しょうり]**,victory; (n) for a won battle in formal or declamatory register.
**秘書[ひしょ]**,secretary; (n) literally saying secret writer for the aide handling a lord's private affairs.
**勝負[しょうぶ]**,a match; (n) literally saying win lose for a bout that must end with an outcome.
**罪[つみ]**,crime; (n) spanning legal crime and moral sin so context decides the weight.
**必[かなら]ず**,without fail; (adv) for an outcome the speaker guarantees will happen.
**鑑定[かんてい]**,appraisal; (n) for expert identification of what an item truly is and its worth.
**諸国[しょこく]**,the various countries; (n) for many countries taken together with an old formal ring.
**余裕[よゆう]**,margin; (n) for spare capacity in time strength or composure.
**ばれる**,to be found out; (v) for a secret coming out where the secret itself is the subject.
**民[たみ]**,the people of a land; (n) for the governed populace seen from a ruler's vantage point.
**頃[ころ]**,around the time of; (n) for an approximate time that must lean on a modifier.
**探[さが]す**,to search for; (v) for hunting for something missing or wanted.
**試[ため]す**,to try out; (v) for putting something to a test to see how it performs.
**糸[いと]**,thread; (n) for thread which also figures in fate and behind the scenes manipulation.
**互[たが]い**,each other; (n) carrying reciprocity so both parties act on each other.
**仲良[なかよ]く**,on friendly terms; (adv) for getting on well and playing peaceably together.
**大切[たいせつ]**,precious; (na-adj) for what you cherish and would hate to lose.
**申[もう]し訳[わけ]**,excuse; (n) literally saying no excuse to offer and used in heavy apology.
**おいおい**,hey now; (exp) for a stretched out protest half disbelieving at what someone did.
**真[しん]**,true; (n) Prefix marking the genuine article as against those merely called such.
**旅[たび]**,journey; (n) for travel as an experience with no fixed destination implied.
**立[た]てる**,to set up; (v) for standing something up which is how plans get made here.
**護衛[ごえい]**,escort; (n) for guard duty and also for the person performing it.
**おら**,I (rustic country speech); (pron) for a rustic speaker marking heavy country accent and low status.
**暴走[ぼうそう]**,running out of control; (n) literally saying violent run for power careering beyond its owner's control.
**納得[なっとく]**,being convinced; (n) for accepting something as reasonable after having doubted it.
**更[さら]に**,furthermore; (adv) adding one more step on top of an already high level.
**感知[かんち]**,detection; (n) for sensor like pickup of something at a distance.
**周囲[しゅうい]**,surroundings; (n) for the ring of space around a point and the people in it.
**本来[ほんらい]**,originally; (adv) pointing to how something is by original nature.
**隠[かく]す**,to hide something; (v) for concealing a thing or a feeling with an actor doing it.
**迷惑[めいわく]**,a nuisance; (n) for bother inflicted on other people and the standard word of apology.
**乗[の]る**,to ride; (v) for boarding and by extension for going along with a scheme.
**引[ひ]き受[う]ける**,to take on a task; (v) for taking on a duty someone hands you along with its responsibility.
**取引[とりひき]**,a deal; (n) for a two way business deal and also for shady bargains.
**武装[ぶそう]**,arms; (n) for the state of being kitted out and ready for battle.
**決[けっ]して**,never (with a negative); (adv) demanding a negative later and hardening the refusal that follows.
**側[そば]**,the side; (n) for physical closeness within arm's reach of a person.
**働[はたら]く**,to work; (v) for putting in labour and also for a skill or device functioning.
**最強[さいきょう]**,the strongest; (n) for the absolute top of strength with a boastful ring.
**似[に]る**,to resemble; (v) for resemblance which is felt as a lasting state.
**貴殿[きでん]**,you (formal and lordly); (pron) for stiff respectful address between men of rank in letters.
**読[よ]む**,to read; (v) for reading text and also intentions or the flow of a situation.
**大会[たいかい]**,tournament; (n) literally saying big meeting for a large organised contest.
**街道[かいどう]**,highway; (n) for the main road linking towns and the classic bandit haunt.
**妾[わらわ]**,I (archaic noblewoman's speech); (pron) for a highborn woman in archaic speech paired with old endings.
**母[はは]**,mother; (n) for your own mother when you speak about her to outsiders.
**あんな**,that kind of over there; (dem) for something distant from both speakers often coloured with contempt.
**食事[しょくじ]**,a meal; (n) literally saying eat thing for the occasion of eating.
**合[あ]う**,to fit; (v) for two things matching each other with nobody making them.
**守護[しゅご]**,guardianship; (n) for the standing duty of a guardian deity or sworn protector.
**解放[かいほう]**,release; (n) literally saying untie and let go for freeing captives or lifting seals.
**あまり**,not very with a negative; (adv) meaning hardly with a negative and excessively with a positive.
**笑[わら]い声[ごえ]**,laughter; (n) for the sound of laughing so it is heard by others.
**角[つの]**,horn; (n) for the hard growth on an animal or demon head.
**星[ほし]**,star; (n) for a star and also a star shaped mark or a celebrity.
**随分[ずいぶん]**,quite a lot; (adv) for a quantity that surprises the speaker as more than expected.
**続[つづ]く**,to continue by itself; (v) for something carrying on by itself with no one driving it.
**連絡[れんらく]**,contact; (n) literally saying connect and tie for getting a message through.
**最高[さいこう]**,the best; (n) for the highest point often shouted as plain delight.
**泣[な]く**,to cry; (v) for weeping with tears from a human being.
**褒[ほ]める**,to praise; (v) for a superior commending someone below them.
**腹[はら]**,belly; (n) for the outer belly and the seat of anger and resolve.
**自[みずか]ら**,oneself; (adv) saying the important party acted in person.
**開始[かいし]**,start; (n) for a formal commencement announced in official register.
**立派[りっぱ]**,fine; (na-adj) praising impressive substance in bearing achievement or a building.
**住処[すみか]**,dwelling; (n) for the den of a beast or an outlaw.
**抜[ぬ]く**,to pull out; (v) for pulling something out of whatever holds it and outstripping rivals.
**西側[にしがわ]**,the west side; (n) naming one flank of a place by compass direction typically a territory or building.
**まだまだ**,not yet by a long way; (adv) judging how far short of a goal something remains often with a nudge.
**魔導[まどう]**,magical arts; (n) for the discipline and craft of magic as a body of knowledge.
**開国[かいこく]**,founding or opening up a country; (n) literally saying open country covering founding a nation or ending its isolation.
**転生[てんせい]**,reincarnation; (n) literally turn life for rebirth as a new being keeping your old memories.
**状態[じょうたい]**,condition; (n) for a factual snapshot of how something stands at this moment.
**条件[じょうけん]**,condition; (n) for a stipulation in a bargain or a prerequisite that must be met.
**際[さい]**,occasion; (n) with a stiff written feel meaning on the occasion of some event.
**リーダー**,leader; (n) Loanword noun for the head of a squad or party of adventurers.
**用[よう]**,business to attend to; (n) for a piece of business or errand that claims your attention.
**案内[あんない]**,guiding; (n) for leading someone through unfamiliar ground also used for signs and announcements.
**都市[とし]**,city; (n) for a place at administrative urban scale big enough to have districts.
**職人[しょくにん]**,craftsman; (n) for a hands-on maker whose skill comes from years of trained practice.
**奥[おく]**,the depths; (n) for the far inside measured from an entrance also politely naming a wife.
**譲[ゆず]る**,to hand over; (v) for yielding something you had every right to keep such as a seat.
**研究[けんきゅう]**,research; (n) for sustained systematic study of a subject over a long stretch.
**当[あ]たる**,to hit; (v) for a hit landing whether a blow connecting or a prediction proving true.
**集[あつ]める**,to gather things; (v) for pulling things or people together by your own deliberate effort.
**思[おも]い出[だ]す**,to recall; (v) literally thinking something out meaning to drag a buried memory back up.
**詳[くわ]しい**,detailed; (i-adj) for information that is fine-grained or a person deeply versed in something.
**命[めい]じる**,to order; (v) for issuing an order downward with the authority of a ruler.
**無駄[むだ]**,useless; (na-adj) for effort that produced nothing at all so it was pointless.
**ずるい**,sly; (i-adj) complaining that someone cheats or exploits an unfair edge thrown around lightly.
**金[かね]**,money; (n) for money in general including coin and funds you can spend.
**連邦[れんぽう]**,federation; (n) for member states bound under one shared government.
**我慢[がまん]**,endurance; (n) for holding yourself back through something unpleasant purely by self-restraint.
**国交[こっこう]**,diplomatic relations; (n) literally country exchange naming the formal channel between two states.
**奴隷[どれい]**,slave; (n) for a person owned as property with no rights of their own.
**少女[しょうじょ]**,girl; (n) in written register for a preteen or teenage girl.
**渡[わた]る**,to cross over; (v) for going over and across a span such as a bridge.
**及[およ]ぶ**,to reach; (v) for something spreading outward until it touches a further point like blame.
**領域[りょういき]**,territory; (n) for the sphere you control or the field of expertise you own.
**運命[うんめい]**,fate; (n) literally carrying life for a course laid out and felt inescapable.
**早速[さっそく]**,right away; (adv) carrying eagerness to act immediately on what has just happened.
**深[ふか]い**,deep; (i-adj) covering physical depth and intensity like profound meaning or keen interest.
**繋[つな]がる**,to be connected; (v) for a link that exists or forms without anyone tying it.
**避[さ]ける**,to avoid; (v) for steering clear of something before it ever reaches you.
**雑魚[ざこ]**,small fry; (n) literally miscellaneous fish for a mook beneath notice used as pure insult.
**生[い]き残[のこ]る**,to survive; (v) literally living on for outlasting the others who died around you.
**礼[れい]**,thanks; (n) covering words of thanks the bow itself and a gift returned.
**加[くわ]える**,to add; (v) for adding one item into a set that already exists.
